text,emotion
I had cereal for breakfast today. I couldn't believe it.,neutral
My best friend moved away. I feel overwhelmed.,sadness
This is so frustrating and annoying! I feel overwhelmed.,anger
I just want to be alone and cry. I'm speechless.,sadness
I feel embarrassed about what I did.!,shame
What a beautiful sunny day! That really hit me.,joy
This surprise party is amazing! That really hit me.,joy
This situation makes me sick. I'm telling the truth.,disgust
Today has been really hard for me. I couldn't believe it.,sadness
I wish I could take back my words. I'm not joking.,shame
I'm so proud of my accomplishments. Seriously.,joy
Today has been really hard for me. I couldn't believe it.,sadness
What a beautiful sunny day! It really happened.,joy
What if I fail the exam tomorrow? I'm still processing it.,fear
My best friend moved away. I'm telling the truth.,sadness
That’s the most disgusting thing ever. Honestly.,disgust
I had cereal for breakfast today. It was unexpected.,neutral
This is so frustrating and annoying! I'm still processing it.,anger
The weather is moderate and cloudy. It really happened.,neutral
I'm so proud of my accomplishments. Can you believe it?,joy
You threw me a party? I'm shocked! I still can't believe it.,surprise
I feel embarrassed about what I did. I feel overwhelmed.,shame
What if I fail the exam tomorrow?,fear
You threw me a party? I'm shocked! Honestly.,surprise
I can't breathe when I'm anxious. No way!,fear
I just got a promotion at work! I feel overwhelmed.,joy
This surprise party is amazing! It's real.,joy
I’m just reading a book now. I'm telling the truth.,neutral
That was completely unfair and wrong.!,anger
What a beautiful sunny day! It's real.,joy
I'm mad at myself for forgetting that. It's real.,anger
This is so frustrating and annoying! I still can't believe it.,anger
Everyone was watching when I slipped. I feel overwhelmed.,shame
The sight of that was revolting. Seriously.,disgust
I can't believe I acted like that. I'm still processing it.,shame
Why do people always interrupt me? This just happened.,anger
The thought of losing my job terrifies me. Can you believe it?,fear
This gift is such a wonderful surprise. This just happened.,surprise
I wish I could take back my words. Can you believe it?,shame
I'm really scared of the dark. It was unexpected.,fear
I just want to be alone and cry.!,sadness
I'm so proud of my accomplishments. I couldn't believe it.,joy
Why do people always interrupt me? No way!,anger
This gift is such a wonderful surprise. I still can't believe it.,surprise
My best friend moved away. It really happened.,sadness
I'm afraid of what might happen next..,fear
I can't stand people who lie. I couldn't believe it.,disgust
I feel embarrassed about what I did. Honestly.,shame
I feel so ashamed of myself. That really hit me.,shame
This is so frustrating and annoying! Seriously.,anger
She wore a red dress to the event. I feel overwhelmed.,neutral
This gift is such a wonderful surprise. Seriously.,surprise
Today has been really hard for me. Can you believe it?,sadness
I'm mad at myself for forgetting that. It left me stunned.,anger
I'm so proud of my accomplishments. I'm still processing it.,joy
That's unbelievable news! It left me stunned.,surprise
The thought of losing my job terrifies me. I still can't believe it.,fear
I’m just reading a book now. Honestly.,neutral
That’s the most disgusting thing ever. I feel overwhelmed.,disgust
Why do people always interrupt me? This just happened.,anger
The thought of losing my job terrifies me. I couldn't believe it.,fear
My best friend moved away. Honestly.,sadness
I'm furious about how they treated me. It's real.,anger
What if I fail the exam tomorrow? Honestly.,fear
You threw me a party? I'm shocked! It left me stunned.,surprise
I just want to be alone and cry. Seriously.,sadness
I'm so proud of my accomplishments. It's real.,joy
This is so frustrating and annoying! It was unexpected.,anger
This is so frustrating and annoying! I'm speechless.,anger
I just got a promotion at work! Seriously.,joy
I'm afraid of what might happen next. I couldn't believe it.,fear
This situation makes me sick. I couldn't believe it.,disgust
I miss my family so much. I couldn't believe it.,sadness
I just got a promotion at work! That really hit me.,joy
I just got a promotion at work! I couldn't believe it.,joy
Everyone was watching when I slipped. This just happened.,shame
I can't believe I acted like that..,shame
This is so frustrating and annoying! I still can't believe it.,anger
I can't breathe when I'm anxious.!,fear
I’m just reading a book now. I still can't believe it.,neutral
I feel so ashamed of myself. No way!,shame
What if I fail the exam tomorrow? It's real.,fear
This gift is such a wonderful surprise. Honestly.,surprise
That was completely unfair and wrong. I'm not joking.,anger
I'm mad at myself for forgetting that.!,anger
She wore a red dress to the event. Honestly.,neutral
You threw me a party? I'm shocked! Honestly.,surprise
She wore a red dress to the event.!,neutral
What a beautiful sunny day!.,joy
I can't breathe when I'm anxious. It's real.,fear
I just want to be alone and cry. No way!,sadness
This is so frustrating and annoying! I still can't believe it.,anger
What a beautiful sunny day! I feel overwhelmed.,joy
I'm furious about how they treated me. I'm speechless.,anger
That's unbelievable news! No way!,surprise
I had no idea you were coming! I'm not joking.,surprise
I had cereal for breakfast today.,neutral
I'm really scared of the dark.,fear
I just got a promotion at work! I'm telling the truth.,joy
I can't believe I acted like that. It was unexpected.,shame
What if I fail the exam tomorrow? This just happened.,fear
I'm furious about how they treated me. I'm speechless.,anger
I can't stand people who lie. Can you believe it?,disgust
Today has been really hard for me. It was unexpected.,sadness
My best friend moved away. It's real.,sadness
I'm so proud of my accomplishments. It's real.,joy
I miss my family so much. It really happened.,sadness
That food smelled terrible. Honestly.,disgust
I can't stand people who lie. It really happened.,disgust
The thought of losing my job terrifies me..,fear
That’s the most disgusting thing ever. It's real.,disgust
I can't believe I acted like that. No way!,shame
I feel so ashamed of myself..,shame
That was completely unfair and wrong. I feel overwhelmed.,anger
I just want to be alone and cry. I'm telling the truth.,sadness
Laughing with friends is the best feeling. I'm not joking.,joy
This surprise party is amazing! I'm speechless.,joy
I wish I could take back my words. I feel overwhelmed.,shame
I wish I could take back my words. I'm not joking.,shame
I feel embarrassed about what I did. I couldn't believe it.,shame
Today has been really hard for me. This just happened.,sadness
The meeting is scheduled at 3 PM. It left me stunned.,neutral
Nothing seems to cheer me up lately. It was unexpected.,sadness
That’s the most disgusting thing ever. I'm telling the truth.,disgust
That food smelled terrible. No way!,disgust
What if I fail the exam tomorrow? Can you believe it?,fear
I had cereal for breakfast today. I'm telling the truth.,neutral
I’m just reading a book now. It really happened.,neutral
I had cereal for breakfast today. I'm telling the truth.,neutral
I'm furious about how they treated me. I feel overwhelmed.,anger
What a beautiful sunny day!,joy
The thought of losing my job terrifies me. I'm telling the truth.,fear
I'm furious about how they treated me. I'm still processing it.,anger
I can't believe I acted like that. It was unexpected.,shame
What if I fail the exam tomorrow? I'm not joking.,fear
The sight of that was revolting. I'm not joking.,disgust
I feel so ashamed of myself. Seriously.,shame
The thought of losing my job terrifies me..,fear
I just want to be alone and cry. Can you believe it?,sadness
You threw me a party? I'm shocked! I'm not joking.,surprise
I had cereal for breakfast today. Seriously.,neutral
Why do people always interrupt me?.,anger
I feel embarrassed about what I did. No way!,shame
That was completely unfair and wrong. It's real.,anger
I'm so proud of my accomplishments. It's real.,joy
This is so frustrating and annoying! I feel overwhelmed.,anger
This surprise party is amazing!.,joy
My best friend moved away. It was unexpected.,sadness
Nothing seems to cheer me up lately. No way!,sadness
Why do people always interrupt me? Can you believe it?,anger
Nothing seems to cheer me up lately. I'm still processing it.,sadness
I'm afraid of what might happen next. It was unexpected.,fear
I had cereal for breakfast today..,neutral
That's unbelievable news! I'm telling the truth.,surprise
I'm afraid of what might happen next. This just happened.,fear
This situation makes me sick..,disgust
The meeting is scheduled at 3 PM. That really hit me.,neutral
I wish I could take back my words. I feel overwhelmed.,shame
Everyone was watching when I slipped. Honestly.,shame
I had no idea you were coming! Honestly.,surprise
This surprise party is amazing! I still can't believe it.,joy
Nothing seems to cheer me up lately. That really hit me.,sadness
I can't stand people who lie. I'm speechless.,disgust
The meeting is scheduled at 3 PM. It really happened.,neutral
I just want to be alone and cry. It was unexpected.,sadness
What if I fail the exam tomorrow? It was unexpected.,fear
My best friend moved away. I feel overwhelmed.,sadness
What if I fail the exam tomorrow? Honestly.,fear
"Wow, I didn’t expect that at all! I'm telling the truth.",surprise
I'm furious about how they treated me. Seriously.,anger
Why do people always interrupt me? It's real.,anger
What a beautiful sunny day! I still can't believe it.,joy
What a beautiful sunny day! I'm speechless.,joy
Laughing with friends is the best feeling. I couldn't believe it.,joy
I just want to be alone and cry. I'm not joking.,sadness
I had no idea you were coming! Can you believe it?,surprise
This gift is such a wonderful surprise. This just happened.,surprise
That food smelled terrible. Honestly.,disgust
I wish I could take back my words. Honestly.,shame
That's unbelievable news! I'm still processing it.,surprise
That's unbelievable news! Honestly.,surprise
I’m just reading a book now. This just happened.,neutral
What a beautiful sunny day! No way!,joy
"Wow, I didn’t expect that at all!!",surprise
I feel so ashamed of myself. I feel overwhelmed.,shame
Laughing with friends is the best feeling. I'm speechless.,joy
This gift is such a wonderful surprise. It really happened.,surprise
I feel so ashamed of myself. This just happened.,shame
I just got a promotion at work! I'm speechless.,joy
I just got a promotion at work!!,joy
I wish I could take back my words. No way!,shame
My best friend moved away. I couldn't believe it.,sadness
This gift is such a wonderful surprise. It was unexpected.,surprise
Today has been really hard for me. Seriously.,sadness
Laughing with friends is the best feeling. I'm not joking.,joy
This surprise party is amazing! I feel overwhelmed.,joy
Why do people always interrupt me? I'm still processing it.,anger
Laughing with friends is the best feeling. It was unexpected.,joy
What a beautiful sunny day! It really happened.,joy
I'm mad at myself for forgetting that. Can you believe it?,anger
This situation makes me sick. Can you believe it?,disgust
I had no idea you were coming!!,surprise
I'm mad at myself for forgetting that. Seriously.,anger
I had cereal for breakfast today. It's real.,neutral
I’m just reading a book now. I couldn't believe it.,neutral
That food smelled terrible. I'm speechless.,disgust
That's unbelievable news! Seriously.,surprise
The meeting is scheduled at 3 PM. I'm not joking.,neutral
What a beautiful sunny day! I'm not joking.,joy
I wish I could take back my words.,shame
That was completely unfair and wrong. This just happened.,anger
I'm furious about how they treated me. Seriously.,anger
I can't believe I acted like that. No way!,shame
I miss my family so much. I'm telling the truth.,sadness
Everyone was watching when I slipped.,shame
That food smelled terrible. Honestly.,disgust
That’s the most disgusting thing ever. No way!,disgust
Why do people always interrupt me? I'm still processing it.,anger
I feel embarrassed about what I did. Honestly.,shame
Nothing seems to cheer me up lately. Seriously.,sadness
I feel embarrassed about what I did. It's real.,shame
That food smelled terrible. Honestly.,disgust
I'm really scared of the dark. No way!,fear
You threw me a party? I'm shocked! I feel overwhelmed.,surprise
I’m just reading a book now. I'm speechless.,neutral
My best friend moved away. That really hit me.,sadness
I'm so proud of my accomplishments. Honestly.,joy
I’m just reading a book now. This just happened.,neutral
What if I fail the exam tomorrow? It was unexpected.,fear
I'm so proud of my accomplishments. No way!,joy
This gift is such a wonderful surprise. It really happened.,surprise
I can't breathe when I'm anxious. I'm speechless.,fear
I had cereal for breakfast today. It left me stunned.,neutral
That food smelled terrible. Can you believe it?,disgust
That was completely unfair and wrong. It's real.,anger
What if I fail the exam tomorrow? It was unexpected.,fear
I'm mad at myself for forgetting that. This just happened.,anger
Why do people always interrupt me? I'm telling the truth.,anger
Everyone was watching when I slipped.,shame
Why do people always interrupt me? I'm still processing it.,anger
This situation makes me sick. That really hit me.,disgust
I just want to be alone and cry. I'm telling the truth.,sadness
"Wow, I didn’t expect that at all! I'm still processing it.",surprise
My best friend moved away.,sadness
My best friend moved away. This just happened.,sadness
That's unbelievable news! It really happened.,surprise
I'm so proud of my accomplishments. It's real.,joy
You threw me a party? I'm shocked! I'm telling the truth.,surprise
I just want to be alone and cry. I feel overwhelmed.,sadness
Today has been really hard for me. That really hit me.,sadness
I'm so proud of my accomplishments. Seriously.,joy
Laughing with friends is the best feeling. I'm still processing it.,joy
Why do people always interrupt me? I still can't believe it.,anger
Why do people always interrupt me? I couldn't believe it.,anger
That was completely unfair and wrong..,anger
I'm so proud of my accomplishments. I'm not joking.,joy
I'm really scared of the dark. It left me stunned.,fear
I can't believe I acted like that. I still can't believe it.,shame
I just want to be alone and cry. I'm still processing it.,sadness
I can't stand people who lie. That really hit me.,disgust
She wore a red dress to the event. I'm not joking.,neutral
This surprise party is amazing! I'm not joking.,joy
"Wow, I didn’t expect that at all! I'm still processing it.",surprise
What if I fail the exam tomorrow? That really hit me.,fear
The sight of that was revolting. I'm telling the truth.,disgust
What a beautiful sunny day! I'm telling the truth.,joy
This is so frustrating and annoying! I still can't believe it.,anger
The weather is moderate and cloudy. That really hit me.,neutral
Today has been really hard for me. Honestly.,sadness
Everyone was watching when I slipped. Seriously.,shame
The meeting is scheduled at 3 PM. I'm telling the truth.,neutral
I feel embarrassed about what I did. Seriously.,shame
The weather is moderate and cloudy. This just happened.,neutral
I just want to be alone and cry.!,sadness
Nothing seems to cheer me up lately. I couldn't believe it.,sadness
Laughing with friends is the best feeling. I couldn't believe it.,joy
I'm afraid of what might happen next. That really hit me.,fear
This gift is such a wonderful surprise. I'm not joking.,surprise
This is so frustrating and annoying! I still can't believe it.,anger
The meeting is scheduled at 3 PM. It left me stunned.,neutral
The thought of losing my job terrifies me. It was unexpected.,fear
Why do people always interrupt me? It really happened.,anger
I can't breathe when I'm anxious. I feel overwhelmed.,fear
I had no idea you were coming!.,surprise
I'm furious about how they treated me..,anger
This surprise party is amazing! I'm not joking.,joy
I just got a promotion at work! I still can't believe it.,joy
This situation makes me sick. I'm not joking.,disgust
That was completely unfair and wrong. It left me stunned.,anger
I can't stand people who lie. I'm speechless.,disgust
I feel so ashamed of myself. It was unexpected.,shame
She wore a red dress to the event. Honestly.,neutral
The thought of losing my job terrifies me. That really hit me.,fear
This is so frustrating and annoying! It left me stunned.,anger
I had cereal for breakfast today. This just happened.,neutral
That's unbelievable news! Honestly.,surprise
The weather is moderate and cloudy. It left me stunned.,neutral
That's unbelievable news! It was unexpected.,surprise
I’m just reading a book now. I'm speechless.,neutral
This surprise party is amazing!,joy
I'm really scared of the dark. Can you believe it?,fear
This is so frustrating and annoying! That really hit me.,anger
That's unbelievable news! It was unexpected.,surprise
I'm furious about how they treated me. This just happened.,anger
I can't stand people who lie. Can you believe it?,disgust
Why do people always interrupt me? I feel overwhelmed.,anger
You threw me a party? I'm shocked! No way!,surprise
"Wow, I didn’t expect that at all! It's real.",surprise
I had cereal for breakfast today. No way!,neutral
Why do people always interrupt me? It was unexpected.,anger
I can't believe I acted like that. Seriously.,shame
My best friend moved away. I'm not joking.,sadness
I just want to be alone and cry. It really happened.,sadness
Everyone was watching when I slipped. I'm speechless.,shame
I can't breathe when I'm anxious. I'm telling the truth.,fear
I had no idea you were coming!,surprise
I'm mad at myself for forgetting that. Can you believe it?,anger
I'm so proud of my accomplishments. Seriously.,joy
What if I fail the exam tomorrow? It's real.,fear
I’m just reading a book now. I'm telling the truth.,neutral
This surprise party is amazing! I'm speechless.,joy
I'm really scared of the dark. I feel overwhelmed.,fear
I'm mad at myself for forgetting that. It left me stunned.,anger
My best friend moved away..,sadness
Laughing with friends is the best feeling.!,joy
The sight of that was revolting. I'm not joking.,disgust
That's unbelievable news! I still can't believe it.,surprise
The thought of losing my job terrifies me. This just happened.,fear
Why do people always interrupt me? It's real.,anger
"Wow, I didn’t expect that at all! It was unexpected.",surprise
That food smelled terrible..,disgust
What if I fail the exam tomorrow? No way!,fear
I can't stand people who lie. Honestly.,disgust
This surprise party is amazing! It really happened.,joy
Nothing seems to cheer me up lately. I feel overwhelmed.,sadness
I just want to be alone and cry. Honestly.,sadness
I had no idea you were coming! I'm not joking.,surprise
I miss my family so much. I'm not joking.,sadness
I'm so proud of my accomplishments. Seriously.,joy
What a beautiful sunny day! Can you believe it?,joy
This surprise party is amazing! I'm telling the truth.,joy
I miss my family so much. It was unexpected.,sadness
I feel embarrassed about what I did. It was unexpected.,shame
She wore a red dress to the event..,neutral
You threw me a party? I'm shocked! That really hit me.,surprise
This is so frustrating and annoying! I feel overwhelmed.,anger
Everyone was watching when I slipped. No way!,shame
I can't believe I acted like that. It was unexpected.,shame
Why do people always interrupt me? It left me stunned.,anger
That's unbelievable news! I'm speechless.,surprise
That was completely unfair and wrong. It was unexpected.,anger
This surprise party is amazing! Can you believe it?,joy
I miss my family so much.,sadness
Nothing seems to cheer me up lately. I feel overwhelmed.,sadness
I miss my family so much. That really hit me.,sadness
Today has been really hard for me. It left me stunned.,sadness
The weather is moderate and cloudy. It left me stunned.,neutral
My best friend moved away. That really hit me.,sadness
My best friend moved away. I'm not joking.,sadness
That food smelled terrible. It really happened.,disgust
What if I fail the exam tomorrow? It was unexpected.,fear
The thought of losing my job terrifies me. I'm speechless.,fear
I'm so proud of my accomplishments. I'm telling the truth.,joy
The sight of that was revolting. It was unexpected.,disgust
I'm furious about how they treated me. I still can't believe it.,anger
That food smelled terrible..,disgust
I'm furious about how they treated me. No way!,anger
The sight of that was revolting. Seriously.,disgust
The sight of that was revolting. I couldn't believe it.,disgust
The weather is moderate and cloudy. I'm telling the truth.,neutral
What if I fail the exam tomorrow? I'm not joking.,fear
I just want to be alone and cry. Seriously.,sadness
I'm mad at myself for forgetting that. That really hit me.,anger
Laughing with friends is the best feeling..,joy
I feel embarrassed about what I did. Honestly.,shame
I feel embarrassed about what I did.,shame
The thought of losing my job terrifies me. It's real.,fear
I can't breathe when I'm anxious.,fear
This surprise party is amazing!,joy
What a beautiful sunny day! It's real.,joy
This is so frustrating and annoying! Can you believe it?,anger
I'm mad at myself for forgetting that.,anger
The sight of that was revolting. Honestly.,disgust
Laughing with friends is the best feeling. It was unexpected.,joy
That was completely unfair and wrong. I feel overwhelmed.,anger
I'm furious about how they treated me. Seriously.,anger
Today has been really hard for me. I feel overwhelmed.,sadness
This situation makes me sick. Seriously.,disgust
I'm so proud of my accomplishments. It really happened.,joy
I wish I could take back my words. It was unexpected.,shame
The meeting is scheduled at 3 PM. It's real.,neutral
Nothing seems to cheer me up lately. I'm speechless.,sadness
Today has been really hard for me. I'm speechless.,sadness
I'm furious about how they treated me. It's real.,anger
I had cereal for breakfast today. It left me stunned.,neutral
The thought of losing my job terrifies me. I'm telling the truth.,fear
I feel embarrassed about what I did. It's real.,shame
I feel embarrassed about what I did. I still can't believe it.,shame
I just want to be alone and cry.!,sadness
This is so frustrating and annoying! I couldn't believe it.,anger
I'm afraid of what might happen next.!,fear
I wish I could take back my words..,shame
I just got a promotion at work! I'm speechless.,joy
The thought of losing my job terrifies me. Seriously.,fear
What if I fail the exam tomorrow? Seriously.,fear
That food smelled terrible. It left me stunned.,disgust
She wore a red dress to the event. This just happened.,neutral
My best friend moved away. I'm speechless.,sadness
What a beautiful sunny day! Honestly.,joy
What if I fail the exam tomorrow?,fear
What if I fail the exam tomorrow? I'm speechless.,fear
The sight of that was revolting. It's real.,disgust
That’s the most disgusting thing ever. Can you believe it?,disgust
This gift is such a wonderful surprise. I'm still processing it.,surprise
The thought of losing my job terrifies me. It really happened.,fear
My best friend moved away. I couldn't believe it.,sadness
This is so frustrating and annoying! I still can't believe it.,anger
I feel so ashamed of myself. I still can't believe it.,shame
I can't breathe when I'm anxious. Seriously.,fear
I wish I could take back my words. It was unexpected.,shame
I'm really scared of the dark. It was unexpected.,fear
Everyone was watching when I slipped. I'm speechless.,shame
The sight of that was revolting.!,disgust
I can't believe I acted like that. This just happened.,shame
I feel so ashamed of myself. I'm not joking.,shame
The sight of that was revolting. It left me stunned.,disgust
I'm afraid of what might happen next. I feel overwhelmed.,fear
She wore a red dress to the event. No way!,neutral
I'm mad at myself for forgetting that. Honestly.,anger
That’s the most disgusting thing ever. I still can't believe it.,disgust
What a beautiful sunny day! I'm not joking.,joy
The meeting is scheduled at 3 PM. Can you believe it?,neutral
I miss my family so much. I'm speechless.,sadness
The sight of that was revolting. Can you believe it?,disgust
Laughing with friends is the best feeling. I feel overwhelmed.,joy
She wore a red dress to the event..,neutral
What a beautiful sunny day! I feel overwhelmed.,joy
I'm afraid of what might happen next. I'm telling the truth.,fear
This is so frustrating and annoying! I still can't believe it.,anger
This situation makes me sick..,disgust
My best friend moved away. I'm not joking.,sadness
I'm furious about how they treated me. I couldn't believe it.,anger
I had no idea you were coming! No way!,surprise
The meeting is scheduled at 3 PM. Can you believe it?,neutral
I'm furious about how they treated me. I feel overwhelmed.,anger
This gift is such a wonderful surprise. Can you believe it?,surprise
This is so frustrating and annoying! I'm not joking.,anger
Laughing with friends is the best feeling. I'm still processing it.,joy
Today has been really hard for me..,sadness
Nothing seems to cheer me up lately. I'm speechless.,sadness
This situation makes me sick.,disgust
I just got a promotion at work! I couldn't believe it.,joy
I just want to be alone and cry. No way!,sadness
The thought of losing my job terrifies me. Honestly.,fear
I just got a promotion at work! I'm still processing it.,joy
Laughing with friends is the best feeling. It's real.,joy
Everyone was watching when I slipped. It really happened.,shame
That was completely unfair and wrong. I'm not joking.,anger
You threw me a party? I'm shocked! I'm speechless.,surprise
I'm furious about how they treated me. No way!,anger
Why do people always interrupt me? Seriously.,anger
This surprise party is amazing! I'm speechless.,joy
This surprise party is amazing!.,joy
I'm so proud of my accomplishments. I'm still processing it.,joy
This gift is such a wonderful surprise..,surprise
My best friend moved away..,sadness
What if I fail the exam tomorrow? This just happened.,fear
I miss my family so much. No way!,sadness
I'm so proud of my accomplishments. I'm not joking.,joy
Everyone was watching when I slipped. Seriously.,shame
She wore a red dress to the event. It's real.,neutral
That was completely unfair and wrong. I'm still processing it.,anger
My best friend moved away. It was unexpected.,sadness
Laughing with friends is the best feeling..,joy
The thought of losing my job terrifies me. I'm not joking.,fear
The sight of that was revolting.!,disgust
I'm really scared of the dark.!,fear
That food smelled terrible. I still can't believe it.,disgust
I can't breathe when I'm anxious. That really hit me.,fear
Laughing with friends is the best feeling. I feel overwhelmed.,joy
She wore a red dress to the event. This just happened.,neutral
I just got a promotion at work! No way!,joy
Laughing with friends is the best feeling. I couldn't believe it.,joy
Everyone was watching when I slipped. Honestly.,shame
I can't breathe when I'm anxious. It really happened.,fear
You threw me a party? I'm shocked! It really happened.,surprise
Nothing seems to cheer me up lately. Can you believe it?,sadness
I can't believe I acted like that. That really hit me.,shame
I'm mad at myself for forgetting that. I couldn't believe it.,anger
This surprise party is amazing! I couldn't believe it.,joy
Today has been really hard for me.!,sadness
I just want to be alone and cry. That really hit me.,sadness
I had cereal for breakfast today. Can you believe it?,neutral
I'm mad at myself for forgetting that. This just happened.,anger
This situation makes me sick. No way!,disgust
This gift is such a wonderful surprise. That really hit me.,surprise
I can't breathe when I'm anxious. I'm telling the truth.,fear
"Wow, I didn’t expect that at all! Can you believe it?",surprise
I'm really scared of the dark. This just happened.,fear
Nothing seems to cheer me up lately. That really hit me.,sadness
This is so frustrating and annoying! I'm telling the truth.,anger
The meeting is scheduled at 3 PM.,neutral
I'm really scared of the dark. It's real.,fear
I'm mad at myself for forgetting that. I'm telling the truth.,anger
The meeting is scheduled at 3 PM.!,neutral
This is so frustrating and annoying! I'm speechless.,anger
I just want to be alone and cry. It was unexpected.,sadness
You threw me a party? I'm shocked! I'm telling the truth.,surprise
This surprise party is amazing! That really hit me.,joy
I just want to be alone and cry. I'm still processing it.,sadness
I can't breathe when I'm anxious. This just happened.,fear
I'm afraid of what might happen next. It really happened.,fear
The thought of losing my job terrifies me. I'm telling the truth.,fear
Why do people always interrupt me? Honestly.,anger
This surprise party is amazing! Honestly.,joy
That was completely unfair and wrong. It was unexpected.,anger
Nothing seems to cheer me up lately. Seriously.,sadness
This situation makes me sick. Seriously.,disgust
I can't believe I acted like that..,shame
The meeting is scheduled at 3 PM. It left me stunned.,neutral
I can't believe I acted like that.,shame
The thought of losing my job terrifies me. That really hit me.,fear
I just got a promotion at work! I still can't believe it.,joy
I had cereal for breakfast today. That really hit me.,neutral
What if I fail the exam tomorrow?.,fear
I had no idea you were coming! I'm still processing it.,surprise
I’m just reading a book now. It left me stunned.,neutral
I had cereal for breakfast today. I'm not joking.,neutral
I just got a promotion at work! I feel overwhelmed.,joy
She wore a red dress to the event. It's real.,neutral
I can't stand people who lie. Seriously.,disgust
That's unbelievable news! That really hit me.,surprise
"Wow, I didn’t expect that at all! It's real.",surprise
I'm mad at myself for forgetting that. I feel overwhelmed.,anger
That was completely unfair and wrong. I'm speechless.,anger
You threw me a party? I'm shocked! Can you believe it?,surprise
I'm mad at myself for forgetting that. No way!,anger
This situation makes me sick..,disgust
I miss my family so much. It's real.,sadness
Laughing with friends is the best feeling. I feel overwhelmed.,joy
I miss my family so much. No way!,sadness
What if I fail the exam tomorrow? I'm not joking.,fear
You threw me a party? I'm shocked! Can you believe it?,surprise
I'm really scared of the dark. It really happened.,fear
This surprise party is amazing! Can you believe it?,joy
Nothing seems to cheer me up lately. It really happened.,sadness
I'm really scared of the dark. Seriously.,fear
I miss my family so much. It left me stunned.,sadness
This gift is such a wonderful surprise. I feel overwhelmed.,surprise
That was completely unfair and wrong. It's real.,anger
That’s the most disgusting thing ever.,disgust
I'm furious about how they treated me. It was unexpected.,anger
I'm mad at myself for forgetting that. No way!,anger
Why do people always interrupt me? That really hit me.,anger
This situation makes me sick. No way!,disgust
You threw me a party? I'm shocked! Honestly.,surprise
I can't believe I acted like that. Seriously.,shame
I'm furious about how they treated me. I'm not joking.,anger
I just want to be alone and cry. It left me stunned.,sadness
This gift is such a wonderful surprise. I feel overwhelmed.,surprise
That food smelled terrible.!,disgust
Nothing seems to cheer me up lately. I still can't believe it.,sadness
This is so frustrating and annoying! I still can't believe it.,anger
I just got a promotion at work! It was unexpected.,joy
I wish I could take back my words. I'm telling the truth.,shame
"Wow, I didn’t expect that at all!.",surprise
Today has been really hard for me.!,sadness
That food smelled terrible. Honestly.,disgust
This surprise party is amazing!!,joy
I miss my family so much. Seriously.,sadness
She wore a red dress to the event. Seriously.,neutral
I can't believe I acted like that. It really happened.,shame
I'm mad at myself for forgetting that. I'm still processing it.,anger
I'm really scared of the dark. I'm still processing it.,fear
I had no idea you were coming! I still can't believe it.,surprise
I'm really scared of the dark. I'm still processing it.,fear
Today has been really hard for me. I'm still processing it.,sadness
I wish I could take back my words. This just happened.,shame
The weather is moderate and cloudy. I feel overwhelmed.,neutral
This is so frustrating and annoying!,anger
Why do people always interrupt me? This just happened.,anger
My best friend moved away.!,sadness
I just got a promotion at work! That really hit me.,joy
The sight of that was revolting. I still can't believe it.,disgust
The thought of losing my job terrifies me. It really happened.,fear
My best friend moved away. I still can't believe it.,sadness
Nothing seems to cheer me up lately.,sadness
I'm so proud of my accomplishments. Honestly.,joy
I'm furious about how they treated me. I'm telling the truth.,anger
The sight of that was revolting. I couldn't believe it.,disgust
I'm afraid of what might happen next. It left me stunned.,fear
This surprise party is amazing! Can you believe it?,joy
I’m just reading a book now. I'm not joking.,neutral
Everyone was watching when I slipped. I'm still processing it.,shame
Laughing with friends is the best feeling. I'm not joking.,joy
This situation makes me sick. This just happened.,disgust
I'm mad at myself for forgetting that. I'm not joking.,anger
That was completely unfair and wrong. I'm speechless.,anger
The sight of that was revolting. I'm telling the truth.,disgust
I just want to be alone and cry..,sadness
I feel so ashamed of myself. No way!,shame
I'm really scared of the dark. It's real.,fear
Everyone was watching when I slipped. I feel overwhelmed.,shame
I just want to be alone and cry..,sadness
That was completely unfair and wrong. It's real.,anger
This gift is such a wonderful surprise. Seriously.,surprise
I wish I could take back my words. I'm telling the truth.,shame
The weather is moderate and cloudy. No way!,neutral
I just want to be alone and cry. I still can't believe it.,sadness
Nothing seems to cheer me up lately. It was unexpected.,sadness
Why do people always interrupt me? I'm telling the truth.,anger
I'm furious about how they treated me. I'm speechless.,anger
What a beautiful sunny day! I'm speechless.,joy
This gift is such a wonderful surprise. It's real.,surprise
I'm furious about how they treated me. No way!,anger
This surprise party is amazing! I feel overwhelmed.,joy
Why do people always interrupt me? Honestly.,anger
You threw me a party? I'm shocked! Can you believe it?,surprise
I had no idea you were coming!!,surprise
I'm mad at myself for forgetting that. I feel overwhelmed.,anger
That food smelled terrible. I'm speechless.,disgust
I'm mad at myself for forgetting that. It left me stunned.,anger
That’s the most disgusting thing ever. Honestly.,disgust
You threw me a party? I'm shocked! I'm telling the truth.,surprise
That’s the most disgusting thing ever..,disgust
You threw me a party? I'm shocked!,surprise
What if I fail the exam tomorrow? I feel overwhelmed.,fear
Why do people always interrupt me? That really hit me.,anger
What a beautiful sunny day! I'm telling the truth.,joy
What if I fail the exam tomorrow?.,fear
I'm mad at myself for forgetting that. It really happened.,anger
I’m just reading a book now. I'm speechless.,neutral
I can't believe I acted like that.!,shame
